energy,photons
6.5,0.0106813027
7.0,0.342898778
7.5,5.0425833744
8.0,75.94688892
8.5,893.07435939
9.0,952.32135625
9.5,5256.54974922
10.0,14701.7057121
10.5,7306.8427608
11.0,10205.36484944
11.5,19268.80732956
12.0,17436.6421413
12.5,19375.05274848
13.0,23985.17956368
13.5,30152.36787164
14.0,37276.7431176
14.5,44719.2186834
15.0,51085.09162575
15.5,57348.78059325
16.0,63860.061096
16.5,68698.72845
17.0,74681.64333
17.5,79126.8274485
18.0,84084.4202856
18.5,86524.537216
19.0,88071.764265
19.5,91094.5728
20.0,92812.1097365
20.5,92003.301819
21.0,93293.9045676
21.5,91579.6024976
22.0,91427.366051
22.5,89447.83523
23.0,87697.7600868
23.5,86869.5977664
24.0,84341.7204135
24.5,83544.1544159
25.0,80080.99382304
25.5,78395.04815584
26.0,74528.52031676
26.5,71366.03324928
27.0,68154.69353328
27.5,65433.43020753
28.0,61098.9415165
28.5,57316.57353742
29.0,52509.644484
29.5,48611.87034132
30.0,46235.1926772
30.5,41080.13467805
31.0,37512.05661126
31.5,32760.34310115
32.0,28808.2607904
32.5,24602.2848708
33.0,19502.600202
33.5,14752.79363272
34.0,11239.63800576
34.5,8568.74804352
35.0,1428.313018275
35.5,0
36.0,0
36.5,0
37.0,0
37.5,0
38.0,0
38.5,0
39.0,0
39.5,0
40.0,0
40.5,0
