energy,photons
6.5,0.0126130935
7.0,0.4218082961
7.5,5.9391200916
8.0,82.798840908
8.5,853.10985621
9.0,1000.4773875
9.5,4973.71857213
10.0,13141.50907806
10.5,7736.6016024
11.0,11334.2980304
11.5,20173.48600908
12.0,19745.84410596
12.5,22640.2699536
13.0,27749.26387728
13.5,34486.41292656
14.0,41683.350996
14.5,47648.7032454
15.0,53486.3809935
15.5,59372.02039125
16.0,64300.909644
16.5,67324.4933625
17.0,70870.396842
17.5,71947.8849843
18.0,73266.2117208
18.5,73394.6906368
19.0,73109.4600438
19.5,71129.85264
20.0,69206.48647715
20.5,66430.2794454
21.0,62199.02609208
21.5,57953.05871656
22.0,53377.6909582
22.5,48675.6903622
23.0,41662.85373315
23.5,36349.55795592
24.0,30918.5099652
24.5,23691.20970616
25.0,15788.8980576
25.5,8135.698567776
26.0,2179.191131388
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
35.5,0
36.0,0
36.5,0
37.0,0
37.5,0
38.0,0
38.5,0
39.0,0
39.5,0
40.0,0
40.5,0
