energy,photons
0,0
1,0
2,0
3,0
4,0.0779750166
5,23879.031584
6,12626414.28
7,378223223.36
8,7969691664
9,44949145120
10,18079798992
11,55006150640
12,25692962800
13,32736122960
14,38258643504
15,42099081888
16,44378871520
17,45341087304
18,45252194360
19,44353957200
20,42846252784
21,40885771376
22,38591454952
23,36051909632
24,33332565032
25,30481731312
26,27535441440
27,24521123664
28,21460301032
29,18370616032
30,15267163480
31,12163559080
32,9072586184
33,6006696328
34,2978305616.8
35,0
36,0
37,0
