energy,photons
6.5,0.0101244458
7.0,0.3279314669
7.5,4.8664742868
8.0,76.465172364
8.5,898.64432499
9.0,932.198825
9.5,5406.91007703
10.0,14885.20198044
10.5,7136.0230458
11.0,9970.97842352
11.5,18883.69880076
12.0,16833.87114876
12.5,18419.67132408
13.0,23105.23437258
13.5,29009.76933904
14.0,36042.7464432
14.5,43283.8266258
15.0,50165.49836025
15.5,56322.60501225
16.0,63060.2358732
16.5,68177.69145
17.0,74721.902976
17.5,79367.962752
18.0,84317.1457632
18.5,87193.9866304
19.0,89493.813559
19.5,92665.4256
20.0,94721.327052
20.5,94455.1955412
21.0,96175.0625742
21.5,95373.3023624
22.0,95943.952028
22.5,94840.955042
23.0,93200.9309082
23.5,92796.2000712
24.0,91159.1052504
24.5,90925.1045459
25.0,87874.7504544
25.5,86600.1463808
26.0,83673.79483
26.5,82286.17818624
27.0,79771.32905184
27.5,76907.7956196
28.0,73281.6682175
28.5,70303.11966002
29.0,67409.167276
29.5,63722.62467428
30.0,60628.08715464
30.5,57414.43832865
31.0,54968.2221627
31.5,51152.29734223
32.0,47477.447064
32.5,43856.0195892
33.0,40138.79832
33.5,36840.4232196
34.0,33072.86712832
34.5,27770.71704
35.0,25125.4324035
35.5,21969.41869782
36.0,18595.02243249
36.5,15083.79881904
37.0,10730.7368146
37.5,5761.825142458
38.0,2321.1334948
38.5,0
39.0,0
39.5,0
40.0,0
40.5,0
