energy,photons
6.5,0.0119269883
7.0,0.3919978498
7.5,5.5985878512
8.0,79.587115944
8.5,868.2183879
9.0,985.0589625
9.5,5041.43246607
10.0,13737.72844422
10.5,7599.4746036
11.0,10918.360488
11.5,19921.86001272
12.0,18962.27886366
12.5,21561.0810012
13.0,26441.3350611
13.5,33049.23438684
14.0,40273.592184
14.5,46964.2338846
15.0,52902.7706025
15.5,59098.494867
16.0,64703.9711736
16.5,68490.31365
17.0,73037.707785
17.5,75544.2457965
18.0,78534.2702592
18.5,79873.2333568
19.0,80587.680094
19.5,80865.4176
20.0,80541.8039855
20.5,78995.2799844
21.0,77443.6733892
21.5,74602.40530428
22.0,71645.0347657
22.5,68421.0315264
23.0,64640.59744122
23.5,61480.61564184
24.0,57385.76447835
24.5,52180.03699682
25.0,48698.80507008
25.5,43344.90072016
26.0,37811.37409864
26.5,30834.97901568
27.0,24711.79790016
27.5,19011.05846145
28.0,13982.25450075
28.5,7758.992017822
29.0,2672.7014336
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
35.5,0
36.0,0
36.5,0
37.0,0
37.5,0
38.0,0
38.5,0
39.0,0
39.5,0
40.0,0
40.5,0
